name,source,smiles
Lapatinib,PubChem_CID_208908,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
Bractoppin,Periasamy2018,O=C(N1CCN(CC2=CC=CC=C2F)CC1)C3=CC=C4NC(C5=CC=CC=C5)=NC4=C3
